"word1","word2","freq"
"economic","crisis",4
"education","said",4
"el","paso",4
"else","can",4
"email","address",4
"end","first",4
"end","result",4
"end","year",4
"even","best",4
"even","close",4
"even","know",4
"event","will",4
"ever","heard",4
"ever","seen",4
"ever","used",4
"every","member",4
"every","month",4
"excited","new",4
"executive","officer",4
"experience","will",4
"fairly","simple",4
"fall","love",4
"family","just",4
"family","room",4
"farmers","market",4
"favorite","song",4
"federal","court",4
"feel","comfortable",4
"feel","little",4
"feel","need",4
"feel","way",4
"feeling","like",4
"felt","good",4
"find","one",4
"find","something",4
"find","ways",4
"finished","points",4
"first","inning",4
"first","lady",4
"five","games",4
"focal","point",4
"follow","love",4
"following","year",4
"four","children",4
"four","games",4
"fred","cease",4
"friday","april",4
"front","porch",4
"front","yard",4
"fully","understand",4
"fun","one",4
"funny","people",4
"game","since",4
"game","tonight",4
"gas","prices",4
"general","motors",4
"george","zimmerman",4
"get","another",4
"get","bed",4
"get","done",4
"get","first",4
"get","lost",4
"get","people",4
"get","right",4
"get","used",4
"getting","back",4
"getting","better",4
"getting","rid",4
"getting","worse",4
"give","straight",4
"given","us",4
"giving","away",4
"glad","see",4
"go","ahead",4
"go","every",4
"go","far",4
"go","get",4
"go","home",4
"go","just",4
"go","long",4
"go","outside",4
"go","see",4
"go","sleep",4
"going","forward",4
"going","just",4
"going","try",4
"golden","brown",4
"golf","course",4
"good","company",4
"good","day",4
"good","move",4
"good","one",4
"good","people",4
"good","times",4
"got","another",4
"got","back",4
"got","get",4
"got","good",4
"got","like",4
"got","rid",4
"got","right",4
"grad","school",4
"grand","opening",4
"grand","prix",4
"great","new",4
"great","news",4
"great","place",4
"great","things",4
"green","bay",4
"haha","im",4
"half","hour",4
"half","time",4
"hamilton","township",4
"happy","healthy",4
"happy","help",4
"happy","new",4
"hard","find",4
"hard","say",4
"hard","times",4
"havent","found",4
"hes","great",4
"hes","just",4
"hes","still",4
"hey","tony",4
"highly","recommend",4
"hip","hop",4
"holiday","weekend",4
"home","runs",4
"home","sold",4
"home","studio",4
"honestly","dont",4
"hong","kong",4
"hope","enjoy",4
"hope","see",4
"hope","will",4
"hope","yall",4
"horror","movie",4
"hot","priyanka",4
"house","built",4
"human","beings",4
"id","love",4
"id","rather",4
"ill","just",4
"ill","let",4
"ill","never",4
"im","also",4
"im","always",4
"im","back",4
"im","great",4
"im","kind",4
"im","little",4
"immune","system",4
"important","part",4
"important","thing",4
"including","one",4
"inspector","general",4
"interest","rates",4
"international","airport",4
"ive","always",4
"ive","busy",4
"ive","just",4
"ive","learned",4
"ive","made",4
"ive","missed",4
"jerry","brown",4
"jim","tressels",4
"jo","anne",4
"johnny","depp",4
"just","behind",4
"just","doesnt",4
"just","enough",4
"just","figured",4
"just","havent",4
"just","im",4
"just","let",4
"just","looked",4
"just","many",4
"just","minutes",4
"just","read",4
"just","reading",4
"just","seemed",4
"just","trying",4
"just","went",4
"just","wish",4
"keep","track",4
"keeping","people",4
"king","queen",4
"kitchen","floor",4
"know","anyone",4
"know","great",4
"know","just",4
"know","like",4
"know","many",4
"know","mean",4
"know","really",4
"know","say",4
"know","still",4
"know","u",4
"large","number",4
"large","numbers",4
"last","days",4
"last","eight",4
"last","post",4
"last","saturday",4
"later","found",4
"law","allows",4
"law","firm",4
"law","school",4
"learn","something",4
"least","million",4
"least","two",4
"left","behind",4
"left","home",4
"let","cool",4
"libra","libra",4
"life","just",4
"life","one",4
"life","still",4
"like","big",4
"like","last",4
"like","lot",4
"like","man",4
"like","may",4
"like","now",4
"like","reading",4
"like","said",4
"like","sweet",4
"like","tell",4
"like","time",4
"like","way",4
"like","well",4
"listen","listen",4
"little","brother",4
"little","chance",4
"little","less",4
"little","old",4
"little","people",4
"live","way",4
"lol","thats",4
"lol","yeah",4
"long","beach",4
"long","line",4
"look","good",4
"look","really",4
"looked","around",4
"looking","like",4
"lot","good",4
"love","forever",4
"love","get",4
"love","life",4
"love","way",4
"made","possible",4
"made","sure",4
"made","think",4
"madison","county",4
"magistrate","judge",4
"make","decision",4
"make","decisions",4
"make","first",4
"make","mind",4
